target,model,threshold,precision,recall,f1,predicted_delayed_rate,actual_delayed_rate,difference_from_actual_rate
delayed_30,logistic_regression,0.1,0.559661094175463,0.9994381804796776,0.7175254003908287,0.9971873343502201,0.558400675039756,0.4387866593104641
delayed_30,logistic_regression,0.2,0.5633920753064798,0.9971618427680267,0.7199918868637133,0.9883274375534136,0.558400675039756,0.4299267625136576
delayed_30,logistic_regression,0.3,0.5719104072549797,0.9920570343678562,0.7255493016616309,0.9686225510877443,0.558400675039756,0.4102218760479883
delayed_30,logistic_regression,0.4,0.5790177850568614,0.9725677089387423,0.725882012724118,0.9379374506431268,0.558400675039756,0.37953677560337085
delayed_30,logistic_regression,0.5,0.5904908352810924,0.9299275446549653,0.7223191982423932,0.8793907333484785,0.558400675039756,0.3209900583087225
delayed_30,logistic_regression,0.6,0.6065400349498182,0.8775136580262699,0.7172882858986591,0.8078678912580188,0.558400675039756,0.24946721621826284
delayed_30,logistic_regression,0.7,0.6278615341839414,0.787448176992522,0.69865756815291,0.7003321109055701,0.558400675039756,0.14193143586581414
delayed_30,logistic_regression,0.8,0.6461191742540341,0.6942733155100934,0.6693312664008293,0.6000173087116909,0.558400675039756,0.04161663367193491
delayed_30,logistic_regression,0.9,0.6978567836805697,0.4973943198109187,0.5808151931092599,0.3979975984162529,0.558400675039756,0.16040307662350312
delayed_30,random_forest,0.1,0.558400675039756,1.0,0.7166329994377225,1.0,0.558400675039756,0.441599324960244
delayed_30,random_forest,0.2,0.558400675039756,1.0,0.7166329994377225,1.0,0.558400675039756,0.441599324960244
delayed_30,random_forest,0.3,0.5598782743600453,0.9997772095005618,0.717791261713928,0.9971386535985893,0.558400675039756,0.43873797855883334
delayed_30,random_forest,0.4,0.5658026250755122,0.9979755124181487,0.7221704296138453,0.9849197849392572,0.558400675039756,0.42651910989950126
delayed_30,random_forest,0.5,0.5857291225464314,0.9778662482079895,0.7326252689713231,0.9322418027023226,0.558400675039756,0.3738411276625666
delayed_30,random_forest,0.6,0.6175164547058056,0.8715370607152544,0.722859817063618,0.7881035060959118,0.558400675039756,0.22970283105615585
delayed_30,random_forest,0.7,0.6851976691569626,0.7187221511875702,0.7015596412683255,0.5857213946494445,0.558400675039756,0.027320719609688515
delayed_30,random_forest,0.8,0.7798414172440888,0.2114959897710101,0.3327491351326638,0.15144040935103148,0.558400675039756,0.4069602656887245
delayed_30,random_forest,0.9,0.0,0.0,0.0,0.0,0.558400675039756,0.558400675039756
